solver,shrinkage,tol,balanced_acc,train_balanced_acc,accuracy,precision_macro,recall_macro,f1_macro,brier_score,rmse_proba,E_train,E_test,E_train-E_test,precision_Scratch,recall_Scratch,f1_Scratch,precision_Loc,recall_Loc,f1_Loc,precision_Near-full,recall_Near-full,f1_Near-full,precision_Edge-Ring,recall_Edge-Ring,f1_Edge-Ring,precision_Center,recall_Center,f1_Center,precision_Donut,recall_Donut,f1_Donut,precision_Edge-Loc,recall_Edge-Loc,f1_Edge-Loc,precision_Random,recall_Random,f1_Random
eigen,auto,0.0001,0.7398,0.7411,0.791,0.6995,0.7398,0.6996,0.038,0.1949,0.2589,0.2602,-0.0014,0.3657,0.0617,0.1051,0.6557,0.5873,0.6195,0.8383,0.9862,0.9051,0.9451,0.8861,0.9147,0.8979,0.9453,0.921,0.5868,0.8255,0.6846,0.6864,0.8023,0.7398,0.62,0.8238,0.7072
lsqr,auto,0.0001,0.7398,0.7411,0.791,0.6995,0.7398,0.6996,0.038,0.1949,0.2589,0.2602,-0.0014,0.3657,0.0617,0.1051,0.6557,0.5873,0.6195,0.8383,0.9862,0.9051,0.9451,0.8861,0.9147,0.8979,0.9453,0.921,0.5868,0.8255,0.6846,0.6864,0.8023,0.7398,0.62,0.8238,0.7072
eigen,auto,0.01,0.7398,0.7411,0.791,0.6995,0.7398,0.6996,0.038,0.1949,0.2589,0.2602,-0.0014,0.3657,0.0617,0.1051,0.6557,0.5873,0.6195,0.8383,0.9862,0.9051,0.9451,0.8861,0.9147,0.8979,0.9453,0.921,0.5868,0.8255,0.6846,0.6864,0.8023,0.7398,0.62,0.8238,0.7072
lsqr,auto,0.001,0.7398,0.7411,0.791,0.6995,0.7398,0.6996,0.038,0.1949,0.2589,0.2602,-0.0014,0.3657,0.0617,0.1051,0.6557,0.5873,0.6195,0.8383,0.9862,0.9051,0.9451,0.8861,0.9147,0.8979,0.9453,0.921,0.5868,0.8255,0.6846,0.6864,0.8023,0.7398,0.62,0.8238,0.7072
lsqr,auto,0.01,0.7398,0.7411,0.791,0.6995,0.7398,0.6996,0.038,0.1949,0.2589,0.2602,-0.0014,0.3657,0.0617,0.1051,0.6557,0.5873,0.6195,0.8383,0.9862,0.9051,0.9451,0.8861,0.9147,0.8979,0.9453,0.921,0.5868,0.8255,0.6846,0.6864,0.8023,0.7398,0.62,0.8238,0.7072
eigen,auto,0.001,0.7398,0.7411,0.791,0.6995,0.7398,0.6996,0.038,0.1949,0.2589,0.2602,-0.0014,0.3657,0.0617,0.1051,0.6557,0.5873,0.6195,0.8383,0.9862,0.9051,0.9451,0.8861,0.9147,0.8979,0.9453,0.921,0.5868,0.8255,0.6846,0.6864,0.8023,0.7398,0.62,0.8238,0.7072
eigen,,0.01,0.7394,0.7421,0.7912,0.6975,0.7394,0.6996,0.038,0.195,0.2579,0.2606,-0.0027,0.3515,0.0648,0.1089,0.6577,0.5858,0.6196,0.8333,0.9862,0.9023,0.946,0.8855,0.9148,0.8979,0.9477,0.9221,0.5843,0.8196,0.6804,0.6866,0.8031,0.7402,0.6225,0.8226,0.7083
lsqr,,0.0001,0.7394,0.7421,0.7912,0.6975,0.7394,0.6996,0.038,0.195,0.2579,0.2606,-0.0027,0.3515,0.0648,0.1089,0.6577,0.5858,0.6196,0.8333,0.9862,0.9023,0.946,0.8855,0.9148,0.8979,0.9477,0.9221,0.5843,0.8196,0.6804,0.6866,0.8031,0.7402,0.6225,0.8226,0.7083
eigen,,0.0001,0.7394,0.7421,0.7912,0.6975,0.7394,0.6996,0.038,0.195,0.2579,0.2606,-0.0027,0.3515,0.0648,0.1089,0.6577,0.5858,0.6196,0.8333,0.9862,0.9023,0.946,0.8855,0.9148,0.8979,0.9477,0.9221,0.5843,0.8196,0.6804,0.6866,0.8031,0.7402,0.6225,0.8226,0.7083
eigen,,0.001,0.7394,0.7421,0.7912,0.6975,0.7394,0.6996,0.038,0.195,0.2579,0.2606,-0.0027,0.3515,0.0648,0.1089,0.6577,0.5858,0.6196,0.8333,0.9862,0.9023,0.946,0.8855,0.9148,0.8979,0.9477,0.9221,0.5843,0.8196,0.6804,0.6866,0.8031,0.7402,0.6225,0.8226,0.7083
