C,penalty,solver,max_iter,class_weight,balanced_acc,train_balanced_acc,accuracy,precision_macro,recall_macro,f1_macro,brier_score,rmse_proba,E_train,E_test,E_train-E_test,precision_Scratch,recall_Scratch,f1_Scratch,precision_Loc,recall_Loc,f1_Loc,precision_Near-full,recall_Near-full,f1_Near-full,precision_Edge-Ring,recall_Edge-Ring,f1_Edge-Ring,precision_Center,recall_Center,f1_Center,precision_Donut,recall_Donut,f1_Donut,precision_Edge-Loc,recall_Edge-Loc,f1_Edge-Loc,precision_Random,recall_Random,f1_Random
50.0,l2,lbfgs,500,balanced,0.8277,0.8304,0.8039,0.7543,0.8277,0.771,0.0326,0.1806,0.1696,0.1723,-0.0027,0.3057,0.7025,0.4259,0.7674,0.4569,0.5725,0.9146,1.0,0.9552,0.9475,0.9147,0.9308,0.9289,0.9315,0.9302,0.6192,0.9275,0.7425,0.7918,0.7638,0.7775,0.7589,0.9245,0.8332
50.0,l2,lbfgs,1000,balanced,0.8277,0.8304,0.8039,0.7543,0.8277,0.771,0.0326,0.1806,0.1696,0.1723,-0.0027,0.3057,0.7025,0.4259,0.7674,0.4569,0.5725,0.9146,1.0,0.9552,0.9475,0.9147,0.9308,0.9289,0.9315,0.9302,0.6192,0.9275,0.7425,0.7918,0.7638,0.7775,0.7589,0.9245,0.8332
10.0,l2,saga,500,balanced,0.8275,0.8286,0.8029,0.7432,0.8275,0.7644,0.0328,0.181,0.1714,0.1725,-0.0012,0.3037,0.7015,0.4238,0.7745,0.4596,0.5766,0.82,1.0,0.9006,0.949,0.9123,0.9303,0.9277,0.9306,0.9291,0.6258,0.9294,0.7478,0.7892,0.762,0.7753,0.7558,0.9245,0.8314
50.0,l2,saga,500,balanced,0.8275,0.8287,0.8032,0.7436,0.8275,0.7646,0.0328,0.181,0.1713,0.1725,-0.0012,0.3042,0.7025,0.4244,0.7743,0.4599,0.5767,0.82,1.0,0.9006,0.949,0.9124,0.9303,0.9282,0.9306,0.9293,0.6249,0.9294,0.7472,0.7896,0.763,0.776,0.7583,0.9221,0.8319
5.0,l2,saga,500,balanced,0.8273,0.8285,0.8031,0.743,0.8273,0.7642,0.0328,0.1811,0.1715,0.1727,-0.0012,0.3041,0.7015,0.4242,0.7747,0.4602,0.5771,0.82,1.0,0.9006,0.9489,0.9131,0.9307,0.9272,0.9301,0.9286,0.6236,0.9275,0.7457,0.7901,0.7616,0.7756,0.7551,0.9245,0.831
5.0,l2,saga,1000,balanced,0.8272,0.8293,0.8031,0.7449,0.8272,0.7653,0.0327,0.1809,0.1707,0.1728,-0.0021,0.3054,0.7045,0.426,0.7732,0.4578,0.5748,0.833,1.0,0.9085,0.9483,0.9129,0.9302,0.9271,0.9313,0.9292,0.6227,0.9275,0.745,0.7897,0.7628,0.776,0.7599,0.9209,0.8323
50.0,l2,saga,1000,balanced,0.8271,0.8294,0.8029,0.7439,0.8271,0.7645,0.0327,0.1807,0.1706,0.1729,-0.0023,0.3052,0.7055,0.426,0.7723,0.4566,0.5736,0.8287,1.0,0.9059,0.9479,0.9133,0.9302,0.9286,0.9308,0.9297,0.6199,0.9294,0.7436,0.7902,0.7626,0.7761,0.7585,0.9185,0.8305
1.0,l2,saga,1000,balanced,0.8269,0.8281,0.8023,0.7442,0.8269,0.7643,0.033,0.1817,0.1719,0.1731,-0.0012,0.3061,0.7065,0.427,0.7804,0.4563,0.5755,0.8417,1.0,0.9139,0.9481,0.9116,0.9295,0.9245,0.9296,0.9271,0.6173,0.9255,0.7405,0.789,0.7626,0.7756,0.7461,0.9233,0.825
10.0,l2,saga,1000,balanced,0.8268,0.8292,0.8029,0.7437,0.8268,0.7643,0.0327,0.1808,0.1708,0.1732,-0.0024,0.305,0.7045,0.4256,0.7731,0.4566,0.5738,0.8287,1.0,0.9059,0.948,0.9132,0.9302,0.9282,0.9311,0.9296,0.6203,0.9275,0.7433,0.7899,0.7628,0.7761,0.7568,0.9185,0.8296
1.0,l2,saga,500,balanced,0.8268,0.8274,0.8022,0.7423,0.8268,0.7632,0.0331,0.1818,0.1726,0.1732,-0.0006,0.3053,0.7035,0.4257,0.779,0.4572,0.5759,0.8284,1.0,0.9058,0.9489,0.9115,0.9298,0.9245,0.9289,0.9267,0.6182,0.9255,0.7411,0.7893,0.763,0.7759,0.7449,0.9245,0.8247
