n_components,solver,shrinkage,tol,balanced_acc,train_balanced_acc,accuracy,precision_macro,recall_macro,f1_macro,brier_score,rmse_proba,E_train,E_test,E_train-E_test,precision_Scratch,recall_Scratch,f1_Scratch,precision_Loc,recall_Loc,f1_Loc,precision_Near-full,recall_Near-full,f1_Near-full,precision_Edge-Ring,recall_Edge-Ring,f1_Edge-Ring,precision_Center,recall_Center,f1_Center,precision_Donut,recall_Donut,f1_Donut,precision_Edge-Loc,recall_Edge-Loc,f1_Edge-Loc,precision_Random,recall_Random,f1_Random
8,eigen,,0.001,0.6965,0.6958,0.788,0.7163,0.6965,0.6843,0.0377,0.1942,0.3042,0.3035,0.0007,0.4147,0.084,0.1391,0.5979,0.5951,0.5963,0.8513,0.9931,0.9163,0.9518,0.9069,0.9288,0.8879,0.9407,0.9135,0.7183,0.4235,0.5319,0.6913,0.7955,0.7396,0.6172,0.8334,0.709
8,eigen,,0.0001,0.6965,0.6958,0.788,0.7163,0.6965,0.6843,0.0377,0.1942,0.3042,0.3035,0.0007,0.4147,0.084,0.1391,0.5979,0.5951,0.5963,0.8513,0.9931,0.9163,0.9518,0.9069,0.9288,0.8879,0.9407,0.9135,0.7183,0.4235,0.5319,0.6913,0.7955,0.7396,0.6172,0.8334,0.709
8,lsqr,,0.0001,0.6965,0.6958,0.788,0.7163,0.6965,0.6843,0.0377,0.1942,0.3042,0.3035,0.0007,0.4147,0.084,0.1391,0.5979,0.5951,0.5963,0.8513,0.9931,0.9163,0.9518,0.9069,0.9288,0.8879,0.9407,0.9135,0.7183,0.4235,0.5319,0.6913,0.7955,0.7396,0.6172,0.8334,0.709
8,lsqr,,0.01,0.6965,0.6958,0.788,0.7163,0.6965,0.6843,0.0377,0.1942,0.3042,0.3035,0.0007,0.4147,0.084,0.1391,0.5979,0.5951,0.5963,0.8513,0.9931,0.9163,0.9518,0.9069,0.9288,0.8879,0.9407,0.9135,0.7183,0.4235,0.5319,0.6913,0.7955,0.7396,0.6172,0.8334,0.709
8,eigen,,0.01,0.6965,0.6958,0.788,0.7163,0.6965,0.6843,0.0377,0.1942,0.3042,0.3035,0.0007,0.4147,0.084,0.1391,0.5979,0.5951,0.5963,0.8513,0.9931,0.9163,0.9518,0.9069,0.9288,0.8879,0.9407,0.9135,0.7183,0.4235,0.5319,0.6913,0.7955,0.7396,0.6172,0.8334,0.709
8,lsqr,,0.001,0.6965,0.6958,0.788,0.7163,0.6965,0.6843,0.0377,0.1942,0.3042,0.3035,0.0007,0.4147,0.084,0.1391,0.5979,0.5951,0.5963,0.8513,0.9931,0.9163,0.9518,0.9069,0.9288,0.8879,0.9407,0.9135,0.7183,0.4235,0.5319,0.6913,0.7955,0.7396,0.6172,0.8334,0.709
9,eigen,,0.01,0.6955,0.6953,0.7878,0.7112,0.6955,0.6823,0.0376,0.1938,0.3047,0.3045,0.0001,0.3968,0.083,0.1367,0.6062,0.5969,0.6013,0.8461,0.9931,0.9134,0.9513,0.904,0.9271,0.8931,0.9479,0.9197,0.7023,0.4216,0.5258,0.6861,0.7933,0.7357,0.6076,0.8238,0.699
9,eigen,,0.0001,0.6955,0.6953,0.7878,0.7112,0.6955,0.6823,0.0376,0.1938,0.3047,0.3045,0.0001,0.3968,0.083,0.1367,0.6062,0.5969,0.6013,0.8461,0.9931,0.9134,0.9513,0.904,0.9271,0.8931,0.9479,0.9197,0.7023,0.4216,0.5258,0.6861,0.7933,0.7357,0.6076,0.8238,0.699
9,lsqr,,0.001,0.6955,0.6953,0.7878,0.7112,0.6955,0.6823,0.0376,0.1938,0.3047,0.3045,0.0001,0.3968,0.083,0.1367,0.6062,0.5969,0.6013,0.8461,0.9931,0.9134,0.9513,0.904,0.9271,0.8931,0.9479,0.9197,0.7023,0.4216,0.5258,0.6861,0.7933,0.7357,0.6076,0.8238,0.699
8,eigen,auto,0.01,0.6932,0.6929,0.7861,0.7144,0.6932,0.6808,0.0378,0.1944,0.3071,0.3068,0.0003,0.4208,0.083,0.1381,0.5979,0.5801,0.5886,0.8461,0.9931,0.9134,0.9507,0.9061,0.9279,0.8858,0.9424,0.9132,0.7118,0.4098,0.519,0.6849,0.7987,0.7373,0.6172,0.8322,0.7086
