n_components,C,solver,max_iter,class_weight,balanced_acc,train_balanced_acc,accuracy,precision_macro,recall_macro,f1_macro,brier_score,rmse_proba,E_train,E_test,E_train-E_test,precision_Scratch,recall_Scratch,f1_Scratch,precision_Loc,recall_Loc,f1_Loc,precision_Near-full,recall_Near-full,f1_Near-full,precision_Edge-Ring,recall_Edge-Ring,f1_Edge-Ring,precision_Center,recall_Center,f1_Center,precision_Donut,recall_Donut,f1_Donut,precision_Edge-Loc,recall_Edge-Loc,f1_Edge-Loc,precision_Random,recall_Random,f1_Random
9,50.0,lbfgs,500,balanced,0.7874,0.7911,0.7704,0.7067,0.7874,0.7182,0.0383,0.1956,0.2089,0.2126,-0.0038,0.2614,0.6721,0.3764,0.7297,0.3748,0.495,0.9255,0.9867,0.9544,0.963,0.9156,0.9387,0.9291,0.9187,0.9239,0.4557,0.8372,0.5901,0.7595,0.7053,0.7313,0.6292,0.8885,0.7358
9,50.0,lbfgs,1000,balanced,0.7874,0.7911,0.7704,0.7067,0.7874,0.7182,0.0383,0.1956,0.2089,0.2126,-0.0038,0.2614,0.6721,0.3764,0.7297,0.3748,0.495,0.9255,0.9867,0.9544,0.963,0.9156,0.9387,0.9291,0.9187,0.9239,0.4557,0.8372,0.5901,0.7595,0.7053,0.7313,0.6292,0.8885,0.7358
9,10.0,lbfgs,1000,balanced,0.7872,0.7913,0.7699,0.7061,0.7872,0.7177,0.0383,0.1956,0.2087,0.2128,-0.0041,0.2616,0.6721,0.3765,0.7294,0.3736,0.4939,0.9255,0.9867,0.9544,0.963,0.9148,0.9383,0.9285,0.9187,0.9236,0.4538,0.8372,0.5884,0.7581,0.7045,0.7302,0.629,0.8897,0.7361
9,50.0,saga,500,balanced,0.7872,0.7895,0.7699,0.6949,0.7872,0.7115,0.0383,0.1957,0.2105,0.2128,-0.0023,0.2619,0.6721,0.3768,0.7293,0.3742,0.4944,0.8291,0.9931,0.9027,0.9633,0.9141,0.938,0.9287,0.9187,0.9236,0.4549,0.8392,0.5899,0.759,0.7063,0.7316,0.6326,0.8801,0.7352
9,50.0,saga,1000,balanced,0.7871,0.7903,0.7698,0.6973,0.7871,0.713,0.0383,0.1956,0.2097,0.2129,-0.0032,0.2617,0.6711,0.3765,0.7295,0.3754,0.4955,0.8514,0.9931,0.9162,0.963,0.9141,0.9378,0.9296,0.9183,0.9239,0.4555,0.8392,0.5903,0.7583,0.7059,0.7311,0.6291,0.8801,0.7329
9,1.0,lbfgs,1000,balanced,0.787,0.7908,0.7701,0.7045,0.787,0.7167,0.0383,0.1957,0.2092,0.213,-0.0038,0.2614,0.6731,0.3766,0.7314,0.373,0.4938,0.907,0.9867,0.9449,0.9627,0.9151,0.9383,0.9287,0.919,0.9238,0.4538,0.8372,0.5884,0.7584,0.7055,0.7309,0.6324,0.8861,0.737
9,1.0,saga,500,balanced,0.787,0.7894,0.7693,0.6962,0.787,0.712,0.0383,0.1958,0.2106,0.213,-0.0024,0.2618,0.6741,0.3771,0.7315,0.3718,0.4928,0.8416,0.9931,0.9105,0.9634,0.9131,0.9376,0.9278,0.919,0.9233,0.454,0.8392,0.5891,0.7568,0.7059,0.7303,0.6328,0.8801,0.7352
9,5.0,saga,1000,balanced,0.7869,0.7902,0.7697,0.6976,0.7869,0.7131,0.0383,0.1956,0.2098,0.2131,-0.0033,0.2619,0.6721,0.3769,0.7291,0.3745,0.4947,0.8562,0.9931,0.919,0.963,0.9142,0.9379,0.9289,0.9187,0.9238,0.4553,0.8372,0.5897,0.7586,0.7055,0.7309,0.6281,0.8801,0.7322
8,5.0,lbfgs,500,balanced,0.7866,0.7887,0.7682,0.7077,0.7866,0.7179,0.0388,0.1969,0.2113,0.2134,-0.0021,0.2595,0.6802,0.3757,0.7343,0.373,0.4946,0.9313,0.9867,0.9576,0.9626,0.9138,0.9376,0.9237,0.9096,0.9166,0.4583,0.8353,0.5917,0.7578,0.7055,0.7306,0.6339,0.8885,0.7387
8,5.0,lbfgs,1000,balanced,0.7866,0.7887,0.7682,0.7077,0.7866,0.7179,0.0388,0.1969,0.2113,0.2134,-0.0021,0.2595,0.6802,0.3757,0.7343,0.373,0.4946,0.9313,0.9867,0.9576,0.9626,0.9138,0.9376,0.9237,0.9096,0.9166,0.4583,0.8353,0.5917,0.7578,0.7055,0.7306,0.6339,0.8885,0.7387
8,50.0,lbfgs,1000,balanced,0.7862,0.7889,0.7676,0.7071,0.7862,0.7173,0.0388,0.197,0.2111,0.2138,-0.0027,0.2588,0.6791,0.3747,0.7312,0.3721,0.4931,0.9313,0.9867,0.9576,0.9623,0.9138,0.9374,0.9244,0.9079,0.9161,0.4559,0.8353,0.5897,0.7576,0.7049,0.7302,0.635,0.8897,0.7399
8,50.0,lbfgs,500,balanced,0.7862,0.7889,0.7676,0.7071,0.7862,0.7173,0.0388,0.197,0.2111,0.2138,-0.0027,0.2588,0.6791,0.3747,0.7312,0.3721,0.4931,0.9313,0.9867,0.9576,0.9623,0.9138,0.9374,0.9244,0.9079,0.9161,0.4559,0.8353,0.5897,0.7576,0.7049,0.7302,0.635,0.8897,0.7399
9,0.1,lbfgs,1000,balanced,0.7859,0.7882,0.7659,0.6948,0.7859,0.7094,0.0388,0.1971,0.2118,0.2141,-0.0023,0.2588,0.6792,0.3747,0.7344,0.3621,0.4849,0.8468,1.0,0.9167,0.9601,0.9115,0.9351,0.9249,0.9195,0.9222,0.4445,0.8372,0.5805,0.7552,0.6987,0.7257,0.6338,0.8789,0.7355
9,0.1,saga,1000,balanced,0.7859,0.7883,0.7659,0.6937,0.7859,0.7089,0.0388,0.1971,0.2117,0.2141,-0.0024,0.259,0.6781,0.3747,0.7349,0.363,0.4858,0.837,1.0,0.911,0.9601,0.9113,0.935,0.9247,0.9197,0.9222,0.4449,0.8372,0.5808,0.7549,0.6985,0.7254,0.6343,0.8789,0.7359
8,1.0,lbfgs,500,balanced,0.7858,0.7888,0.7678,0.7044,0.7858,0.7157,0.0388,0.1969,0.2112,0.2142,-0.003,0.259,0.6812,0.3753,0.7346,0.3724,0.494,0.907,0.9867,0.9449,0.9627,0.9136,0.9375,0.9236,0.9094,0.9164,0.4564,0.8333,0.5896,0.7581,0.7051,0.7306,0.6336,0.8849,0.7372
8,5.0,saga,500,balanced,0.7856,0.7873,0.7673,0.6948,0.7856,0.7103,0.0388,0.197,0.2127,0.2144,-0.0016,0.2596,0.6792,0.3756,0.7322,0.3715,0.4927,0.8332,0.9931,0.9053,0.9626,0.9128,0.9371,0.9239,0.9101,0.9169,0.4588,0.8353,0.5921,0.7573,0.7053,0.7303,0.6306,0.8777,0.7327
8,50.0,saga,500,balanced,0.7855,0.7871,0.7673,0.6944,0.7855,0.7101,0.0388,0.1969,0.2129,0.2145,-0.0015,0.2592,0.6781,0.3751,0.7325,0.3721,0.4933,0.8291,0.9931,0.9027,0.9626,0.9128,0.9371,0.9241,0.9096,0.9168,0.4584,0.8353,0.5917,0.7574,0.7055,0.7304,0.6315,0.8777,0.7333
8,10.0,saga,1000,balanced,0.7854,0.7876,0.7672,0.6969,0.7854,0.7116,0.0388,0.1969,0.2124,0.2146,-0.0022,0.2594,0.6791,0.3754,0.7327,0.3724,0.4937,0.8514,0.9931,0.9162,0.9626,0.9128,0.937,0.9237,0.9099,0.9167,0.4583,0.8333,0.5912,0.7567,0.7047,0.7297,0.6306,0.8777,0.7327
9,0.1,saga,500,balanced,0.7853,0.7879,0.7657,0.6907,0.7853,0.7068,0.0388,0.1971,0.2121,0.2147,-0.0026,0.259,0.6771,0.3746,0.7345,0.363,0.4857,0.8147,1.0,0.8975,0.9602,0.9112,0.935,0.9245,0.9197,0.9221,0.4439,0.8372,0.58,0.7549,0.6987,0.7255,0.6339,0.8753,0.7344
8,1.0,saga,500,balanced,0.7851,0.7874,0.767,0.6949,0.7851,0.7101,0.0388,0.197,0.2126,0.2149,-0.0023,0.2595,0.6802,0.3756,0.7334,0.3712,0.4927,0.8373,0.9931,0.9079,0.9626,0.9122,0.9367,0.9237,0.9096,0.9166,0.4566,0.8313,0.5893,0.7572,0.7055,0.7303,0.6287,0.8777,0.7315
