sample_idx,true_label,pred_label,prob_Center,prob_Donut,prob_Edge-Loc,prob_Edge-Ring,prob_Loc,prob_Near-full,prob_Random,prob_Scratch
0,Loc,Loc,4.118555704008408e-10,0.0006226702199429744,0.04435641101397465,5.818407046172544e-09,0.7495852411051697,6.486596487790657e-45,3.7176382318657964e-07,0.20543529966682694
1,Edge-Loc,Edge-Loc,0.0003390297234953945,0.00031124882358882195,0.6965419621525981,0.031327099754204356,0.07779127574678407,9.550550521161186e-42,0.000384840353274284,0.19330454344605494
2,Edge-Loc,Edge-Loc,8.93249124495246e-05,0.00048389309535963257,0.552046309353272,0.003371630076300717,0.13749625479433988,4.619439460807884e-43,0.00033179076999671016,0.30618079699828155
3,Edge-Loc,Edge-Loc,0.00010431799214513864,2.2512860208714834e-05,0.7922893237835574,0.0025716926238315615,0.08874356440217103,1.846886899030539e-42,0.0001335180529127373,0.11613507028517348
4,Edge-Loc,Edge-Loc,1.2193859227275508e-09,8.728100751392662e-05,0.8940308022596603,0.0009786798129534165,0.04030666587603554,3.436395387714016e-41,3.9987734480042385e-06,0.06459257105100293
5,Loc,Center,0.7762490153866269,2.3589305235571787e-05,0.00667435181981945,2.606359052713566e-06,0.19880412858599822,3.5790277975419772e-37,0.0002530016853313158,0.01799330685793576
6,Edge-Loc,Edge-Loc,9.466901819319133e-08,7.673870521762708e-05,0.7931827966395641,0.00015375002518996038,0.14108631461712842,4.1538469543455754e-43,1.8320381934357673e-05,0.06548198496194724
7,Edge-Loc,Edge-Loc,0.0002208519332661421,5.050755124013672e-05,0.6461653013419255,0.0006466575116303049,0.2475977273541318,1.8413986611732613e-40,0.0001399795207560253,0.1051789747870501
8,Edge-Loc,Edge-Loc,1.250505959130933e-06,0.0008081922587709031,0.8005843222852856,0.04647989833921002,0.052858246428567374,1.4614763360490013e-47,0.00016736300718373735,0.09910072717502322
9,Center,Center,0.9999289657732543,1.1607787722927877e-10,3.1603600545932314e-06,8.564368680524233e-09,4.02270109107979e-05,1.7085336527935443e-44,1.0565377402954566e-07,2.753252155960941e-05
