n_components,n_estimators,max_features,max_depth,class_weight,balanced_acc,train_balanced_acc,accuracy,precision_macro,recall_macro,f1_macro,brier_score,rmse_proba,E_train,E_test,E_train-E_test,precision_Scratch,recall_Scratch,f1_Scratch,precision_Loc,recall_Loc,f1_Loc,precision_Near-full,recall_Near-full,f1_Near-full,precision_Edge-Ring,recall_Edge-Ring,f1_Edge-Ring,precision_Center,recall_Center,f1_Center,precision_Donut,recall_Donut,f1_Donut,precision_Edge-Loc,recall_Edge-Loc,f1_Edge-Loc,precision_Random,recall_Random,f1_Random
9,500,log2,10.0,balanced,0.7891,0.8789,0.7964,0.75,0.7891,0.7592,0.0353,0.1879,0.1211,0.2109,-0.0897,0.2871,0.5729,0.3825,0.6805,0.4639,0.5514,0.9673,0.9664,0.9665,0.9731,0.9086,0.9397,0.9225,0.9578,0.9398,0.6575,0.8019,0.7221,0.7431,0.7599,0.7513,0.769,0.8814,0.8205
9,100,sqrt,10.0,balanced,0.789,0.8768,0.7964,0.7502,0.789,0.7594,0.0354,0.1882,0.1232,0.211,-0.0878,0.2868,0.5709,0.3817,0.6832,0.4699,0.5566,0.9614,0.9662,0.963,0.9743,0.9063,0.939,0.9222,0.959,0.9402,0.6662,0.8,0.7265,0.7409,0.7583,0.7494,0.7663,0.8814,0.8187
9,100,log2,10.0,balanced,0.789,0.8768,0.7964,0.7502,0.789,0.7594,0.0354,0.1882,0.1232,0.211,-0.0878,0.2868,0.5709,0.3817,0.6832,0.4699,0.5566,0.9614,0.9662,0.963,0.9743,0.9063,0.939,0.9222,0.959,0.9402,0.6662,0.8,0.7265,0.7409,0.7583,0.7494,0.7663,0.8814,0.8187
8,300,log2,10.0,balanced,0.7874,0.8752,0.7947,0.7475,0.7874,0.757,0.0352,0.1878,0.1248,0.2126,-0.0878,0.2868,0.5749,0.3825,0.6776,0.4615,0.5488,0.9556,0.9662,0.96,0.9729,0.9084,0.9395,0.9185,0.9527,0.9353,0.6618,0.798,0.723,0.7426,0.7589,0.7505,0.7641,0.879,0.8165
9,300,log2,10.0,balanced,0.7872,0.8782,0.796,0.7497,0.7872,0.7584,0.0353,0.188,0.1218,0.2128,-0.091,0.2854,0.5658,0.3793,0.6789,0.4657,0.5521,0.9673,0.9595,0.9628,0.9742,0.908,0.9399,0.9224,0.9585,0.9401,0.6644,0.8,0.7251,0.7408,0.759,0.7497,0.7646,0.8814,0.8181
8,100,log2,10.0,balanced,0.7861,0.8741,0.7947,0.7475,0.7861,0.7567,0.0353,0.1879,0.1259,0.2139,-0.0881,0.2859,0.5688,0.3805,0.6742,0.4666,0.5513,0.9614,0.9595,0.9598,0.9719,0.9083,0.939,0.921,0.9518,0.9361,0.6617,0.8,0.7238,0.7441,0.7583,0.751,0.7599,0.8753,0.8124
8,500,sqrt,10.0,balanced,0.7859,0.8763,0.7929,0.7458,0.7859,0.7549,0.0362,0.1903,0.1237,0.2141,-0.0904,0.2819,0.5678,0.3767,0.6793,0.4506,0.5416,0.9614,0.9595,0.9598,0.9702,0.9091,0.9386,0.9149,0.9554,0.9347,0.6567,0.8078,0.724,0.7417,0.7555,0.7485,0.7606,0.8813,0.8156
8,100,sqrt,10.0,balanced,0.7856,0.8752,0.7921,0.744,0.7856,0.7538,0.0363,0.1906,0.1248,0.2144,-0.0896,0.2827,0.5648,0.3767,0.6765,0.4518,0.5415,0.9614,0.9595,0.9598,0.9698,0.9083,0.938,0.914,0.9537,0.9334,0.646,0.8059,0.7162,0.7412,0.7535,0.7473,0.7604,0.8873,0.8177
8,300,sqrt,10.0,balanced,0.7846,0.8758,0.7927,0.7455,0.7846,0.7542,0.0363,0.1904,0.1242,0.2154,-0.0912,0.281,0.5638,0.375,0.6785,0.4509,0.5414,0.9614,0.9595,0.9598,0.97,0.9089,0.9384,0.9164,0.9547,0.9351,0.6523,0.8019,0.7187,0.7408,0.7569,0.7486,0.7636,0.8801,0.8167
7,100,log2,10.0,balanced,0.7768,0.8694,0.7875,0.7266,0.7768,0.7378,0.037,0.1925,0.1306,0.2232,-0.0925,0.2942,0.6023,0.3952,0.6717,0.4235,0.5192,0.9614,0.9595,0.9598,0.9708,0.9119,0.9404,0.9121,0.9549,0.933,0.5044,0.7392,0.5994,0.7446,0.7479,0.7462,0.753,0.8753,0.8089
