n_components,kernel,C,gamma,class_weight,degree,balanced_acc,train_balanced_acc,accuracy,precision_macro,recall_macro,f1_macro,brier_score,rmse_proba,E_train,E_test,E_train-E_test,precision_Scratch,recall_Scratch,f1_Scratch,precision_Loc,recall_Loc,f1_Loc,precision_Near-full,recall_Near-full,f1_Near-full,precision_Edge-Ring,recall_Edge-Ring,f1_Edge-Ring,precision_Center,recall_Center,f1_Center,precision_Donut,recall_Donut,f1_Donut,precision_Edge-Loc,recall_Edge-Loc,f1_Edge-Loc,precision_Random,recall_Random,f1_Random
8,rbf,25.0,0.01,balanced,2,0.8053,0.8273,0.789,0.7231,0.8053,0.7406,0.0308,0.1755,0.1727,0.1947,-0.0221,0.2807,0.6701,0.3953,0.7288,0.3928,0.5086,0.8613,1.0,0.9252,0.9748,0.9165,0.9447,0.9227,0.9482,0.9352,0.5733,0.8941,0.6975,0.7637,0.7441,0.7537,0.6794,0.8765,0.7648
9,rbf,1.0,0.1,balanced,2,0.8031,0.8322,0.7863,0.7179,0.8031,0.7376,0.0306,0.175,0.1678,0.1969,-0.0291,0.2751,0.6569,0.3875,0.712,0.3973,0.5081,0.8422,1.0,0.914,0.9765,0.9098,0.9419,0.9248,0.9537,0.939,0.5678,0.8843,0.6901,0.7591,0.7352,0.7469,0.6856,0.8873,0.7731
8,rbf,1.0,auto,balanced,3,0.801,0.8311,0.786,0.7178,0.801,0.7375,0.031,0.1759,0.1689,0.199,-0.0301,0.2769,0.6519,0.3885,0.7002,0.3976,0.5052,0.8566,1.0,0.9225,0.9764,0.9115,0.9428,0.9226,0.9516,0.9369,0.566,0.8706,0.6843,0.7599,0.7355,0.7474,0.6833,0.8897,0.7726
7,rbf,5.0,0.1,balanced,3,0.798,0.8451,0.791,0.7246,0.798,0.7423,0.0311,0.1763,0.1549,0.202,-0.0471,0.291,0.6539,0.4025,0.6871,0.4106,0.5133,0.9085,0.9862,0.9452,0.9748,0.923,0.9482,0.9211,0.9498,0.9352,0.5377,0.8372,0.6541,0.7685,0.7391,0.7534,0.7081,0.8837,0.7861
9,linear,1.0,scale,balanced,2,0.7957,0.8089,0.7831,0.7152,0.7957,0.7328,0.0332,0.1822,0.1911,0.2043,-0.0132,0.2804,0.663,0.3939,0.7009,0.3787,0.4908,0.8673,1.0,0.9284,0.9712,0.913,0.9412,0.9209,0.947,0.9337,0.5395,0.851,0.6595,0.756,0.7401,0.7478,0.6851,0.8729,0.7669
8,linear,1.0,auto,balanced,3,0.7933,0.8048,0.7817,0.7131,0.7933,0.7308,0.0336,0.1833,0.1952,0.2067,-0.0115,0.2768,0.6589,0.3896,0.6983,0.3829,0.4939,0.8673,1.0,0.9284,0.9701,0.9127,0.9405,0.9189,0.9446,0.9315,0.5331,0.8431,0.6525,0.7585,0.7358,0.7468,0.682,0.8681,0.7634
8,linear,0.5,0.001,balanced,2,0.7932,0.8057,0.7805,0.7102,0.7932,0.7288,0.0335,0.1831,0.1943,0.2068,-0.0125,0.2786,0.6661,0.3926,0.6982,0.3817,0.4929,0.8519,1.0,0.9196,0.9716,0.9084,0.9389,0.9197,0.9443,0.9318,0.5302,0.8412,0.65,0.7551,0.736,0.7453,0.6761,0.8681,0.7594
7,rbf,10.0,0.01,balanced,2,0.7914,0.8086,0.776,0.6942,0.7914,0.7146,0.032,0.1789,0.1914,0.2086,-0.0172,0.2806,0.6772,0.3966,0.7065,0.3664,0.482,0.7969,1.0,0.8866,0.9745,0.909,0.9405,0.9147,0.9467,0.9305,0.4504,0.849,0.5871,0.7602,0.7222,0.7406,0.6699,0.8609,0.7527
9,linear,10.0,0.1,balanced,2,0.7909,0.8151,0.7841,0.7222,0.7909,0.7359,0.0334,0.1828,0.1849,0.2091,-0.0242,0.2785,0.6579,0.3911,0.6891,0.391,0.4979,0.9118,0.9729,0.939,0.9701,0.9163,0.9424,0.9266,0.9448,0.9356,0.5567,0.8392,0.668,0.7571,0.7377,0.7472,0.688,0.8669,0.7663
8,linear,25.0,0.1,balanced,3,0.79,0.8102,0.7833,0.7217,0.79,0.7349,0.0338,0.1839,0.1898,0.21,-0.0202,0.2802,0.6671,0.3945,0.6944,0.3874,0.4967,0.9118,0.9729,0.939,0.9681,0.9173,0.9419,0.9195,0.9438,0.9315,0.5524,0.8294,0.6621,0.7581,0.735,0.7464,0.6888,0.8669,0.7672
8,linear,25.0,0.05,balanced,2,0.79,0.8102,0.7833,0.7217,0.79,0.7349,0.0338,0.1839,0.1898,0.21,-0.0202,0.2802,0.6671,0.3945,0.6944,0.3874,0.4967,0.9118,0.9729,0.939,0.9681,0.9173,0.9419,0.9195,0.9438,0.9315,0.5524,0.8294,0.6621,0.7581,0.735,0.7464,0.6888,0.8669,0.7672
9,linear,25.0,scale,balanced,3,0.7896,0.817,0.785,0.7232,0.7896,0.7366,0.0334,0.1829,0.183,0.2104,-0.0274,0.2794,0.6549,0.3915,0.6866,0.3928,0.4987,0.9118,0.9729,0.939,0.9695,0.9174,0.9427,0.9258,0.9475,0.9365,0.5626,0.8294,0.6691,0.7573,0.7387,0.7478,0.6927,0.8633,0.7679
9,linear,100.0,0.01,balanced,3,0.7895,0.8191,0.785,0.7247,0.7895,0.7379,0.0335,0.183,0.1809,0.2105,-0.0296,0.2787,0.6499,0.3899,0.6861,0.3964,0.5015,0.9118,0.9729,0.939,0.9687,0.9173,0.9423,0.9253,0.9462,0.9356,0.5714,0.8294,0.6755,0.7547,0.738,0.7462,0.7007,0.8657,0.7736
9,linear,0.1,scale,balanced,3,0.7893,0.8009,0.7723,0.6913,0.7893,0.7132,0.0335,0.1832,0.1991,0.2107,-0.0116,0.2766,0.6762,0.3924,0.6964,0.3597,0.474,0.7768,1.0,0.8737,0.9739,0.8977,0.9342,0.9155,0.9426,0.9289,0.4952,0.8509,0.6259,0.7468,0.73,0.7382,0.6495,0.8573,0.7382
7,rbf,5.0,0.01,balanced,3,0.7831,0.7977,0.7651,0.6793,0.7831,0.6982,0.0331,0.1818,0.2023,0.2169,-0.0146,0.2779,0.6893,0.3956,0.7059,0.3389,0.4571,0.7679,1.0,0.8683,0.9747,0.9004,0.936,0.9101,0.9436,0.9265,0.3953,0.8294,0.5345,0.7489,0.7079,0.7276,0.6536,0.8549,0.74
7,linear,100.0,auto,balanced,2,0.7805,0.7993,0.7721,0.7034,0.7805,0.7199,0.0348,0.1864,0.2007,0.2195,-0.0187,0.2762,0.6539,0.3883,0.6508,0.3877,0.4856,0.9218,0.9798,0.9483,0.9695,0.9185,0.9433,0.9179,0.9428,0.9302,0.4609,0.8059,0.5852,0.7536,0.691,0.7209,0.6767,0.8646,0.7574
8,rbf,10.0,0.001,balanced,3,0.7794,0.7859,0.7595,0.6763,0.7794,0.6931,0.0344,0.1854,0.2141,0.2206,-0.0065,0.2664,0.6741,0.3815,0.7216,0.3004,0.4227,0.7376,1.0,0.8467,0.9728,0.8873,0.9281,0.9016,0.9402,0.9205,0.4645,0.8451,0.5989,0.7284,0.7308,0.7295,0.6172,0.8573,0.7169
6,rbf,10.0,scale,balanced,3,0.7782,0.8342,0.773,0.7107,0.7782,0.725,0.0335,0.1829,0.1658,0.2218,-0.0559,0.2539,0.5851,0.3533,0.6754,0.3757,0.4807,0.8995,0.9864,0.9399,0.9623,0.9089,0.9348,0.9181,0.9542,0.9357,0.5368,0.8137,0.646,0.7345,0.7148,0.7243,0.7049,0.8873,0.7854
9,poly,100.0,scale,balanced,2,0.777,0.8409,0.776,0.7251,0.777,0.7331,0.0396,0.1989,0.1591,0.223,-0.0639,0.2769,0.5932,0.3773,0.6856,0.3561,0.4682,0.9271,0.9729,0.9477,0.9615,0.8852,0.9218,0.9314,0.9352,0.9332,0.5935,0.8392,0.695,0.706,0.7917,0.7463,0.719,0.8429,0.7753
