reg_param,tol,balanced_acc,train_balanced_acc,accuracy,precision_macro,recall_macro,f1_macro,brier_score,rmse_proba,E_train,E_test,E_train-E_test,precision_Scratch,recall_Scratch,f1_Scratch,precision_Loc,recall_Loc,f1_Loc,precision_Near-full,recall_Near-full,f1_Near-full,precision_Edge-Ring,recall_Edge-Ring,f1_Edge-Ring,precision_Center,recall_Center,f1_Center,precision_Donut,recall_Donut,f1_Donut,precision_Edge-Loc,recall_Edge-Loc,f1_Edge-Loc,precision_Random,recall_Random,f1_Random
0.1,0.01,0.7099,0.7119,0.7498,0.7323,0.7099,0.677,0.0475,0.218,0.2881,0.2901,-0.002,0.3255,0.3593,0.341,0.8992,0.0987,0.1778,0.9207,1.0,0.9583,0.8958,0.9504,0.9222,0.8166,0.9744,0.8886,0.6826,0.6588,0.6691,0.6122,0.7957,0.6919,0.7056,0.8417,0.7672
0.1,0.001,0.7099,0.7119,0.7498,0.7323,0.7099,0.677,0.0475,0.218,0.2881,0.2901,-0.002,0.3255,0.3593,0.341,0.8992,0.0987,0.1778,0.9207,1.0,0.9583,0.8958,0.9504,0.9222,0.8166,0.9744,0.8886,0.6826,0.6588,0.6691,0.6122,0.7957,0.6919,0.7056,0.8417,0.7672
0.1,0.0001,0.7099,0.7119,0.7498,0.7323,0.7099,0.677,0.0475,0.218,0.2881,0.2901,-0.002,0.3255,0.3593,0.341,0.8992,0.0987,0.1778,0.9207,1.0,0.9583,0.8958,0.9504,0.9222,0.8166,0.9744,0.8886,0.6826,0.6588,0.6691,0.6122,0.7957,0.6919,0.7056,0.8417,0.7672
0.0,0.0001,0.7055,0.709,0.7179,0.6466,0.7055,0.6233,0.0583,0.2415,0.291,0.2945,-0.0035,0.2744,0.496,0.352,0.7993,0.1168,0.2036,0.7237,0.9522,0.7784,0.8491,0.9521,0.8976,0.7981,0.9626,0.8727,0.4888,0.8176,0.6116,0.6721,0.6328,0.6514,0.5674,0.7136,0.6194
0.0,0.01,0.7055,0.709,0.7179,0.6466,0.7055,0.6233,0.0583,0.2415,0.291,0.2945,-0.0035,0.2744,0.496,0.352,0.7993,0.1168,0.2036,0.7237,0.9522,0.7784,0.8491,0.9521,0.8976,0.7981,0.9626,0.8727,0.4888,0.8176,0.6116,0.6721,0.6328,0.6514,0.5674,0.7136,0.6194
0.0,0.001,0.7055,0.709,0.7179,0.6466,0.7055,0.6233,0.0583,0.2415,0.291,0.2945,-0.0035,0.2744,0.496,0.352,0.7993,0.1168,0.2036,0.7237,0.9522,0.7784,0.8491,0.9521,0.8976,0.7981,0.9626,0.8727,0.4888,0.8176,0.6116,0.6721,0.6328,0.6514,0.5674,0.7136,0.6194
0.2,0.01,0.678,0.681,0.7412,0.7376,0.678,0.6595,0.048,0.219,0.319,0.322,-0.0031,0.354,0.2469,0.2905,0.8971,0.0963,0.1738,0.9382,0.9931,0.9642,0.8858,0.9482,0.9159,0.8121,0.9728,0.8852,0.7418,0.5353,0.6201,0.576,0.8013,0.6702,0.6958,0.8297,0.7563
0.2,0.001,0.678,0.681,0.7412,0.7376,0.678,0.6595,0.048,0.219,0.319,0.322,-0.0031,0.354,0.2469,0.2905,0.8971,0.0963,0.1738,0.9382,0.9931,0.9642,0.8858,0.9482,0.9159,0.8121,0.9728,0.8852,0.7418,0.5353,0.6201,0.576,0.8013,0.6702,0.6958,0.8297,0.7563
0.2,0.0001,0.678,0.681,0.7412,0.7376,0.678,0.6595,0.048,0.219,0.319,0.322,-0.0031,0.354,0.2469,0.2905,0.8971,0.0963,0.1738,0.9382,0.9931,0.9642,0.8858,0.9482,0.9159,0.8121,0.9728,0.8852,0.7418,0.5353,0.6201,0.576,0.8013,0.6702,0.6958,0.8297,0.7563
0.3,0.01,0.6439,0.6474,0.7317,0.7334,0.6439,0.6304,0.0485,0.2201,0.3526,0.3561,-0.0036,0.3544,0.1457,0.2059,0.8871,0.0966,0.1742,0.9438,0.9798,0.9605,0.8769,0.9449,0.9096,0.8068,0.9711,0.8813,0.7603,0.3843,0.5083,0.5515,0.8025,0.6537,0.6866,0.8261,0.7493
0.3,0.0001,0.6439,0.6474,0.7317,0.7334,0.6439,0.6304,0.0485,0.2201,0.3526,0.3561,-0.0036,0.3544,0.1457,0.2059,0.8871,0.0966,0.1742,0.9438,0.9798,0.9605,0.8769,0.9449,0.9096,0.8068,0.9711,0.8813,0.7603,0.3843,0.5083,0.5515,0.8025,0.6537,0.6866,0.8261,0.7493
0.3,0.001,0.6439,0.6474,0.7317,0.7334,0.6439,0.6304,0.0485,0.2201,0.3526,0.3561,-0.0036,0.3544,0.1457,0.2059,0.8871,0.0966,0.1742,0.9438,0.9798,0.9605,0.8769,0.9449,0.9096,0.8068,0.9711,0.8813,0.7603,0.3843,0.5083,0.5515,0.8025,0.6537,0.6866,0.8261,0.7493
0.5,0.0001,0.6071,0.6083,0.7214,0.7317,0.6071,0.5876,0.0489,0.2211,0.3917,0.3929,-0.0012,0.3801,0.0415,0.0745,0.8647,0.1012,0.181,0.9504,0.9731,0.9603,0.8693,0.9391,0.9028,0.808,0.9648,0.8795,0.7794,0.2098,0.3256,0.5259,0.8075,0.6369,0.6757,0.8201,0.7403
0.5,0.001,0.6071,0.6083,0.7214,0.7317,0.6071,0.5876,0.0489,0.2211,0.3917,0.3929,-0.0012,0.3801,0.0415,0.0745,0.8647,0.1012,0.181,0.9504,0.9731,0.9603,0.8693,0.9391,0.9028,0.808,0.9648,0.8795,0.7794,0.2098,0.3256,0.5259,0.8075,0.6369,0.6757,0.8201,0.7403
0.5,0.01,0.6071,0.6083,0.7214,0.7317,0.6071,0.5876,0.0489,0.2211,0.3917,0.3929,-0.0012,0.3801,0.0415,0.0745,0.8647,0.1012,0.181,0.9504,0.9731,0.9603,0.8693,0.9391,0.9028,0.808,0.9648,0.8795,0.7794,0.2098,0.3256,0.5259,0.8075,0.6369,0.6757,0.8201,0.7403
0.7,0.01,0.5892,0.5896,0.715,0.7261,0.5892,0.5609,0.0483,0.2197,0.4104,0.4108,-0.0004,0.45,0.0091,0.0177,0.8056,0.1093,0.1923,0.9559,0.9731,0.9633,0.8637,0.9326,0.8968,0.8153,0.9597,0.8817,0.741,0.1,0.1737,0.5142,0.8045,0.6274,0.663,0.8249,0.7346
0.7,0.0001,0.5892,0.5896,0.715,0.7261,0.5892,0.5609,0.0483,0.2197,0.4104,0.4108,-0.0004,0.45,0.0091,0.0177,0.8056,0.1093,0.1923,0.9559,0.9731,0.9633,0.8637,0.9326,0.8968,0.8153,0.9597,0.8817,0.741,0.1,0.1737,0.5142,0.8045,0.6274,0.663,0.8249,0.7346
0.7,0.001,0.5892,0.5896,0.715,0.7261,0.5892,0.5609,0.0483,0.2197,0.4104,0.4108,-0.0004,0.45,0.0091,0.0177,0.8056,0.1093,0.1923,0.9559,0.9731,0.9633,0.8637,0.9326,0.8968,0.8153,0.9597,0.8817,0.741,0.1,0.1737,0.5142,0.8045,0.6274,0.663,0.8249,0.7346
1.0,0.0001,0.5854,0.5871,0.7203,0.6406,0.5854,0.5649,0.0457,0.2138,0.4129,0.4146,-0.0017,0.0,0.0,0.0,0.5846,0.2411,0.3413,0.9719,0.9255,0.9476,0.8586,0.9259,0.8909,0.8369,0.9518,0.8906,0.69,0.051,0.0945,0.5365,0.763,0.6299,0.6466,0.8249,0.7246
1.0,0.001,0.5854,0.5871,0.7203,0.6406,0.5854,0.5649,0.0457,0.2138,0.4129,0.4146,-0.0017,0.0,0.0,0.0,0.5846,0.2411,0.3413,0.9719,0.9255,0.9476,0.8586,0.9259,0.8909,0.8369,0.9518,0.8906,0.69,0.051,0.0945,0.5365,0.763,0.6299,0.6466,0.8249,0.7246
1.0,0.01,0.5854,0.5871,0.7203,0.6406,0.5854,0.5649,0.0457,0.2138,0.4129,0.4146,-0.0017,0.0,0.0,0.0,0.5846,0.2411,0.3413,0.9719,0.9255,0.9476,0.8586,0.9259,0.8909,0.8369,0.9518,0.8906,0.69,0.051,0.0945,0.5365,0.763,0.6299,0.6466,0.8249,0.7246
0.9,0.0001,0.5823,0.5823,0.7132,0.6502,0.5823,0.5545,0.0464,0.2153,0.4177,0.4177,0.0,0.0,0.0,0.0,0.6873,0.1409,0.2337,0.9728,0.9595,0.9655,0.8599,0.9279,0.8926,0.8257,0.9525,0.8846,0.6939,0.0608,0.1111,0.5142,0.7945,0.6243,0.6473,0.8225,0.724
0.9,0.001,0.5823,0.5823,0.7132,0.6502,0.5823,0.5545,0.0464,0.2153,0.4177,0.4177,0.0,0.0,0.0,0.0,0.6873,0.1409,0.2337,0.9728,0.9595,0.9655,0.8599,0.9279,0.8926,0.8257,0.9525,0.8846,0.6939,0.0608,0.1111,0.5142,0.7945,0.6243,0.6473,0.8225,0.724
0.9,0.01,0.5823,0.5823,0.7132,0.6502,0.5823,0.5545,0.0464,0.2153,0.4177,0.4177,0.0,0.0,0.0,0.0,0.6873,0.1409,0.2337,0.9728,0.9595,0.9655,0.8599,0.9279,0.8926,0.8257,0.9525,0.8846,0.6939,0.0608,0.1111,0.5142,0.7945,0.6243,0.6473,0.8225,0.724
