n_estimators,max_features,max_depth,min_samples_split,class_weight,balanced_acc,train_balanced_acc,accuracy,precision_macro,recall_macro,f1_macro,brier_score,rmse_proba,E_train,E_test,E_train-E_test,precision_Scratch,recall_Scratch,f1_Scratch,precision_Loc,recall_Loc,f1_Loc,precision_Near-full,recall_Near-full,f1_Near-full,precision_Edge-Ring,recall_Edge-Ring,f1_Edge-Ring,precision_Center,recall_Center,f1_Center,precision_Donut,recall_Donut,f1_Donut,precision_Edge-Loc,recall_Edge-Loc,f1_Edge-Loc,precision_Random,recall_Random,f1_Random
500,log2,10.0,5,balanced,0.8238,0.8719,0.8188,0.7653,0.8238,0.7817,0.0315,0.1775,0.1281,0.1762,-0.0481,0.3098,0.6175,0.4122,0.7345,0.4936,0.59,0.944,0.9867,0.964,0.9813,0.9245,0.9521,0.9316,0.9511,0.9412,0.704,0.8902,0.7859,0.7923,0.7943,0.7932,0.7248,0.9329,0.8153
300,log2,10.0,5,balanced,0.8238,0.8717,0.8187,0.7652,0.8238,0.7816,0.0315,0.1775,0.1283,0.1762,-0.0479,0.3101,0.6185,0.4128,0.7362,0.4924,0.5897,0.944,0.9867,0.964,0.982,0.9238,0.952,0.9305,0.9506,0.9404,0.7022,0.8902,0.7847,0.7911,0.7957,0.7933,0.726,0.9329,0.8161
500,sqrt,10.0,5,balanced,0.8238,0.8719,0.8188,0.7653,0.8238,0.7817,0.0315,0.1775,0.1281,0.1762,-0.0481,0.3098,0.6175,0.4122,0.7345,0.4936,0.59,0.944,0.9867,0.964,0.9813,0.9245,0.9521,0.9316,0.9511,0.9412,0.704,0.8902,0.7859,0.7923,0.7943,0.7932,0.7248,0.9329,0.8153
300,sqrt,10.0,2,balanced,0.8238,0.8737,0.82,0.7673,0.8238,0.7831,0.0314,0.1773,0.1263,0.1762,-0.0499,0.313,0.6145,0.4144,0.7364,0.4967,0.5928,0.9507,0.9867,0.9674,0.9813,0.9248,0.9523,0.9315,0.9501,0.9407,0.7063,0.8863,0.7855,0.7911,0.7985,0.7946,0.7284,0.9329,0.8176
300,sqrt,10.0,5,balanced,0.8238,0.8717,0.8187,0.7652,0.8238,0.7816,0.0315,0.1775,0.1283,0.1762,-0.0479,0.3101,0.6185,0.4128,0.7362,0.4924,0.5897,0.944,0.9867,0.964,0.982,0.9238,0.952,0.9305,0.9506,0.9404,0.7022,0.8902,0.7847,0.7911,0.7957,0.7933,0.726,0.9329,0.8161
300,log2,10.0,2,balanced,0.8238,0.8737,0.82,0.7673,0.8238,0.7831,0.0314,0.1773,0.1263,0.1762,-0.0499,0.313,0.6145,0.4144,0.7364,0.4967,0.5928,0.9507,0.9867,0.9674,0.9813,0.9248,0.9523,0.9315,0.9501,0.9407,0.7063,0.8863,0.7855,0.7911,0.7985,0.7946,0.7284,0.9329,0.8176
500,sqrt,10.0,2,balanced,0.8234,0.8743,0.8198,0.766,0.8234,0.7821,0.0314,0.1772,0.1257,0.1766,-0.0509,0.3096,0.6114,0.4107,0.7373,0.4961,0.5925,0.944,0.9867,0.964,0.9814,0.9256,0.9526,0.9318,0.9506,0.9411,0.7052,0.8863,0.7847,0.7927,0.7973,0.7948,0.7264,0.9329,0.8163
500,log2,10.0,2,balanced,0.8234,0.8743,0.8198,0.766,0.8234,0.7821,0.0314,0.1772,0.1257,0.1766,-0.0509,0.3096,0.6114,0.4107,0.7373,0.4961,0.5925,0.944,0.9867,0.964,0.9814,0.9256,0.9526,0.9318,0.9506,0.9411,0.7052,0.8863,0.7847,0.7927,0.7973,0.7948,0.7264,0.9329,0.8163
100,sqrt,10.0,2,balanced,0.8214,0.8721,0.8185,0.7658,0.8214,0.7811,0.0316,0.1779,0.1279,0.1786,-0.0507,0.3098,0.6094,0.4106,0.7343,0.4921,0.589,0.9507,0.9798,0.9639,0.9819,0.9229,0.9515,0.9285,0.9511,0.9397,0.7029,0.8883,0.7842,0.789,0.7985,0.7936,0.729,0.9293,0.8168
100,log2,10.0,2,balanced,0.8214,0.8721,0.8185,0.7658,0.8214,0.7811,0.0316,0.1779,0.1279,0.1786,-0.0507,0.3098,0.6094,0.4106,0.7343,0.4921,0.589,0.9507,0.9798,0.9639,0.9819,0.9229,0.9515,0.9285,0.9511,0.9397,0.7029,0.8883,0.7842,0.789,0.7985,0.7936,0.729,0.9293,0.8168
