kernel,C,gamma,class_weight,degree,balanced_acc,train_balanced_acc,accuracy,precision_macro,recall_macro,f1_macro,brier_score,rmse_proba,E_train,E_test,E_train-E_test,precision_Scratch,recall_Scratch,f1_Scratch,precision_Loc,recall_Loc,f1_Loc,precision_Near-full,recall_Near-full,f1_Near-full,precision_Edge-Ring,recall_Edge-Ring,f1_Edge-Ring,precision_Center,recall_Center,f1_Center,precision_Donut,recall_Donut,f1_Donut,precision_Edge-Loc,recall_Edge-Loc,f1_Edge-Loc,precision_Random,recall_Random,f1_Random
rbf,50.0,0.05,balanced,3,0.8239,0.8744,0.8231,0.7689,0.8239,0.7803,0.0268,0.1636,0.1256,0.1761,-0.0505,0.3201,0.6984,0.4388,0.7576,0.4693,0.5782,0.8994,0.9595,0.9282,0.9761,0.9412,0.9583,0.9315,0.9511,0.9411,0.6436,0.8627,0.7354,0.8073,0.7985,0.8028,0.816,0.9101,0.8598
rbf,25.0,0.05,balanced,2,0.8238,0.8659,0.8182,0.7625,0.8238,0.7752,0.027,0.1644,0.1341,0.1762,-0.042,0.3063,0.6974,0.4256,0.7639,0.4636,0.5757,0.8889,0.9662,0.9257,0.9775,0.9375,0.957,0.9338,0.9477,0.9407,0.6233,0.8745,0.7267,0.8018,0.7864,0.794,0.8043,0.9173,0.8564
rbf,25.0,0.05,balanced,3,0.8238,0.8659,0.8182,0.7625,0.8238,0.7752,0.027,0.1644,0.1341,0.1762,-0.042,0.3063,0.6974,0.4256,0.7639,0.4636,0.5757,0.8889,0.9662,0.9257,0.9775,0.9375,0.957,0.9338,0.9477,0.9407,0.6233,0.8745,0.7267,0.8018,0.7864,0.794,0.8043,0.9173,0.8564
rbf,10.0,0.05,balanced,2,0.823,0.8533,0.8132,0.7538,0.823,0.7686,0.0274,0.1656,0.1467,0.177,-0.0303,0.2992,0.6994,0.4189,0.7686,0.4551,0.5704,0.8648,0.9795,0.918,0.9801,0.9323,0.9556,0.9339,0.9438,0.9387,0.6042,0.8823,0.7167,0.7948,0.78,0.7873,0.7851,0.9113,0.8431
rbf,100.0,0.05,balanced,3,0.8228,0.8854,0.8264,0.773,0.8228,0.7831,0.0266,0.1631,0.1146,0.1772,-0.0626,0.3251,0.6964,0.443,0.7565,0.4765,0.5836,0.8999,0.9526,0.9249,0.9754,0.944,0.9594,0.929,0.9523,0.9404,0.6566,0.8431,0.7362,0.8133,0.8054,0.8092,0.8284,0.9125,0.8679
rbf,50.0,0.01,balanced,3,0.8225,0.8436,0.8102,0.7499,0.8225,0.7646,0.0278,0.1667,0.1564,0.1775,-0.0211,0.298,0.6943,0.4169,0.7782,0.4331,0.5558,0.8649,0.9864,0.9213,0.98,0.9271,0.9528,0.9207,0.9499,0.935,0.5921,0.8981,0.7129,0.7918,0.7831,0.7874,0.7737,0.9077,0.8348
rbf,5.0,scale,balanced,3,0.8215,0.8565,0.8127,0.7527,0.8215,0.7679,0.0275,0.166,0.1435,0.1785,-0.0349,0.3016,0.7014,0.4216,0.756,0.4566,0.5681,0.8601,0.9795,0.9152,0.9792,0.934,0.956,0.9318,0.9438,0.9377,0.6044,0.8725,0.7134,0.7965,0.7754,0.7858,0.7921,0.9089,0.8457
rbf,5.0,0.05,balanced,3,0.8205,0.8428,0.8075,0.7444,0.8205,0.7609,0.028,0.1673,0.1572,0.1795,-0.0223,0.2939,0.6944,0.4128,0.7637,0.4419,0.5588,0.8409,0.9864,0.9071,0.9821,0.9247,0.9525,0.927,0.9465,0.9366,0.5807,0.8922,0.7029,0.7873,0.7726,0.7798,0.7795,0.9053,0.8371
rbf,10.0,0.1,balanced,3,0.8203,0.8687,0.8172,0.7606,0.8203,0.7737,0.0273,0.1651,0.1313,0.1797,-0.0484,0.31,0.6954,0.4286,0.7509,0.469,0.5762,0.894,0.9662,0.9286,0.9768,0.9371,0.9565,0.9323,0.9462,0.9391,0.6173,0.8529,0.7154,0.8023,0.7834,0.7927,0.8009,0.9125,0.8522
rbf,10.0,auto,balanced,3,0.8203,0.8687,0.8172,0.7606,0.8203,0.7737,0.0273,0.1651,0.1313,0.1797,-0.0484,0.31,0.6954,0.4286,0.7509,0.469,0.5762,0.894,0.9662,0.9286,0.9768,0.9371,0.9565,0.9323,0.9462,0.9391,0.6173,0.8529,0.7154,0.8023,0.7834,0.7927,0.8009,0.9125,0.8522
linear,25.0,0.001,balanced,2,0.8155,0.8402,0.8102,0.758,0.8155,0.7663,0.0289,0.17,0.1598,0.1845,-0.0248,0.2977,0.6873,0.4147,0.7655,0.4142,0.5362,0.9181,0.9595,0.9377,0.9778,0.9308,0.9537,0.9175,0.9492,0.933,0.6229,0.8883,0.7314,0.7936,0.7965,0.7949,0.7706,0.8981,0.8289
linear,25.0,scale,balanced,3,0.8155,0.8402,0.8102,0.758,0.8155,0.7663,0.0289,0.17,0.1598,0.1845,-0.0248,0.2977,0.6873,0.4147,0.7655,0.4142,0.5362,0.9181,0.9595,0.9377,0.9778,0.9308,0.9537,0.9175,0.9492,0.933,0.6229,0.8883,0.7314,0.7936,0.7965,0.7949,0.7706,0.8981,0.8289
linear,25.0,0.01,balanced,3,0.8155,0.8402,0.8102,0.758,0.8155,0.7663,0.0289,0.17,0.1598,0.1845,-0.0248,0.2977,0.6873,0.4147,0.7655,0.4142,0.5362,0.9181,0.9595,0.9377,0.9778,0.9308,0.9537,0.9175,0.9492,0.933,0.6229,0.8883,0.7314,0.7936,0.7965,0.7949,0.7706,0.8981,0.8289
linear,10.0,0.01,balanced,2,0.815,0.837,0.8082,0.7543,0.815,0.7634,0.0288,0.1697,0.163,0.185,-0.022,0.2938,0.6822,0.4102,0.7696,0.4142,0.5374,0.9181,0.9595,0.9377,0.9777,0.9265,0.9514,0.9217,0.9482,0.9347,0.608,0.8902,0.7215,0.7898,0.7937,0.7916,0.756,0.9053,0.823
linear,10.0,auto,balanced,2,0.815,0.837,0.8082,0.7543,0.815,0.7634,0.0288,0.1697,0.163,0.185,-0.022,0.2938,0.6822,0.4102,0.7696,0.4142,0.5374,0.9181,0.9595,0.9377,0.9777,0.9265,0.9514,0.9217,0.9482,0.9347,0.608,0.8902,0.7215,0.7898,0.7937,0.7916,0.756,0.9053,0.823
linear,50.0,0.01,balanced,3,0.8146,0.8415,0.8105,0.7585,0.8146,0.7665,0.0291,0.1706,0.1585,0.1854,-0.0269,0.3,0.6893,0.4171,0.7606,0.4148,0.5353,0.9123,0.9595,0.9346,0.9764,0.9308,0.953,0.9172,0.9506,0.9335,0.6268,0.8883,0.7342,0.794,0.7975,0.7956,0.7805,0.8861,0.829
