sample_idx,true_label,pred_label,prob_Center,prob_Donut,prob_Edge-Loc,prob_Edge-Ring,prob_Loc,prob_Near-full,prob_Random,prob_Scratch
0,Loc,Loc,0.00017217604661357846,0.0001760377498973902,0.02946284849362155,0.00014845085327625838,0.9335568160358484,0.00018857231592423466,0.000140452880025527,0.03615464562479286
1,Edge-Loc,Edge-Loc,0.0003137043560500003,5.350918891155576e-05,0.9208075252078968,0.010606727878929863,0.04419487605023451,6.342585865438622e-05,6.984150607534366e-06,0.023953247308715463
2,Edge-Loc,Edge-Loc,0.00034491243961438776,4.542855522798814e-05,0.8492486821074848,0.0052253653653145694,0.08994377123259888,0.0001030988778424858,1.5522572793569308e-05,0.055073218849123126
3,Edge-Loc,Edge-Loc,0.0001985679210227645,5.245837377740231e-05,0.9503495581595787,0.011424001198721608,0.026279068231005863,2.940981556233428e-05,5.976685166651455e-05,0.011607169448664608
4,Edge-Loc,Edge-Loc,3.380776890528786e-05,0.00010710583380993017,0.8857988869781304,0.007971170589991299,0.07865044082415647,3.7683018298539914e-05,7.581740865532512e-06,0.02739332324584255
5,Loc,Center,0.05630423407261693,0.008755894284147858,0.035060517757586986,0.004298001186766699,0.7463273288610702,0.004027077308838746,0.12534522263024744,0.01988172389872516
6,Edge-Loc,Edge-Loc,8.455800842837695e-05,7.358483116749036e-05,0.9817964541964833,0.00036448587222757695,0.01734683101204088,1.574740894065643e-05,6.659174096786911e-06,0.00031167949661488814
7,Edge-Loc,Edge-Loc,0.00011724712656199774,7.776894529918903e-05,0.9788170016181584,0.00035201280753405993,0.019792823760027875,1.5329640170914616e-05,9.097459000608167e-05,0.000736841512241254
8,Edge-Loc,Edge-Loc,0.0001098348319087466,0.0001248365328814998,0.9449408078621444,0.02199170494464093,0.02363054145260613,0.00010686349382983368,6.95088209852795e-05,0.009025902061003135
9,Center,Center,0.9645243626721376,0.00033711032456068855,0.000530260934805784,4.495974980521217e-05,0.032373059177410096,0.00017070892519375127,0.001367134143234788,0.0006524040728523332
10,Loc,Scratch,0.001028806883523346,0.0008416007395971834,0.6633394850190454,0.004004513624480712,0.1862994623415315,0.0007635392211003485,0.0007628633505098332,0.14295972882021166
11,Edge-Loc,Edge-Loc,0.0046877962386040525,9.160757826813714e-05,0.915916851004795,0.023669157203699713,0.031980177603868454,4.800349297998404e-05,0.00017949708227495113,0.023426909795509286
12,Center,Center,0.9973080897384651,3.623557335204887e-05,0.00019413076792718496,8.093502731869379e-06,0.0011568898323531935,0.0003541624375534997,0.0008128910635484396,0.0001295070840688411
13,Loc,Scratch,0.003537563928025348,0.02666220270943176,0.11027766821480885,0.009177588691495306,0.37639482546787323,0.001665407284935604,0.0016052903873872292,0.4706794533160427
14,Edge-Ring,Edge-Loc,2.924878075935201e-05,0.0002802049139382418,0.7523492107465858,0.24120312223168078,0.004945554441684347,3.5659680928284216e-05,9.359263393527973e-06,0.0011476399410296626
15,Scratch,Scratch,0.00024504136166242195,0.001341578643406206,0.09537748993666655,0.0012074697080751973,0.42833161140427833,0.000272495379515476,0.0001637715274070975,0.47306054203898856
16,Edge-Ring,Edge-Ring,3.8633056210803896e-05,4.169697057871907e-05,0.19505742087143704,0.8007968480414109,0.0026155681363611524,1.451555477568364e-05,0.00010308957272513926,0.0013322277965006721
17,Edge-Loc,Edge-Loc,5.954522000743025e-05,5.3457228165912406e-05,0.5774845171861422,0.0025788380425786238,0.38080319772615506,5.340930467959679e-05,2.9662399847986618e-05,0.03893737289242353
18,Edge-Loc,Edge-Loc,3.5545583138598484e-05,9.05176296500843e-05,0.773318323090703,0.0008969788470529826,0.20946888767437644,2.136371550206813e-05,0.0003303423941137707,0.015838041065462723
19,Edge-Loc,Edge-Loc,0.0003273536308129958,6.2095606389139e-05,0.7702952533299219,0.0026625273008267637,0.20055516486330727,1.7517857591162064e-05,0.005390363562311771,0.02068972384883906
20,Edge-Loc,Edge-Loc,5.349618444550178e-06,5.68527493991354e-06,0.9905481211171087,2.3676094249829128e-05,0.005584792618991946,4.0826640583727933e-07,0.0038108975791715746,2.1069430687361976e-05
21,Edge-Loc,Edge-Loc,4.0679892293177725e-06,5.477272842033222e-06,0.757467693517302,0.0007229559196852412,0.22936860999247174,4.0635198739656554e-05,5.905484228701155e-06,0.012384654625501574
22,Edge-Loc,Edge-Loc,2.6643239294236826e-05,1.5338933206245418e-05,0.950662608835148,0.0007584739874796871,0.04737504441743938,2.7811660739850775e-06,6.798478210643695e-05,0.0010911246392519222
23,Edge-Loc,Edge-Loc,3.3565817327581396e-05,0.00016142931238538255,0.9372064340851588,0.0016366603950893456,0.03701652775000326,1.1782395590184235e-05,0.018475476434598556,0.005458123809847078
24,Scratch,Edge-Loc,4.142731857627549e-05,1.472807096337406e-05,0.6117774359253877,0.0008174261956712413,0.35596844125919186,2.8783499726072187e-05,7.106158001202054e-05,0.03128069615047132
25,Random,Random,0.00038623406270549775,0.00024633838846865283,0.5782849387441242,0.005066017164820053,0.0030176482763819186,0.00011470589790535397,0.3949885756901564,0.01789554177543831
26,Center,Center,0.9600367931153697,6.611003851392962e-05,0.0022163381337928917,1.793007024562301e-05,0.029768692389418986,1.1872694795112664e-05,0.0014535894823598239,0.006428674075503854
27,Loc,Loc,0.019510294042590384,0.00020776305351031995,0.007764674591039373,1.494142657806496e-05,0.8501217527449783,3.8555347598522935e-05,0.00011608431325294707,0.12222593448045209
28,Edge-Loc,Edge-Loc,0.00014385589559201363,0.00011295636243308691,0.9042053568572097,0.06258527511575253,0.028117866761021723,5.004920869088835e-05,0.0006875398204957887,0.004097099978804271
29,Loc,Edge-Loc,0.00030571229446943487,4.81197679417068e-05,0.5917914176023591,0.002184219036906231,0.33248273123807304,3.0185034057081516e-05,0.00018137598435023623,0.07297623904184267
30,Center,Center,0.9328951049100349,4.789051830328301e-05,0.011793899971552998,0.00016767531826896535,0.040029982328726815,2.6355081713792878e-05,8.578674518915426e-05,0.01495330512620992
31,Scratch,Scratch,0.34804540046195354,0.0003961288492744817,0.06368786249720598,0.0009198747316781327,0.4560835828724653,7.553274132286514e-05,0.004541210171396048,0.1262504076747042
32,Edge-Loc,Loc,0.00022349741796919665,0.00011751894862719358,0.5522479481817859,0.0005393563926878818,0.4165825631934214,2.4472070570850333e-05,5.632274051106022e-05,0.030208321054425995
33,Edge-Loc,Edge-Loc,7.929069942548669e-05,4.553202052602534e-05,0.8850527116529109,0.09425317561736471,0.01624147462046784,1.3095042129151427e-05,0.00018747878611581763,0.004127241561060031
34,Loc,Loc,0.000355618466801895,0.0019849279643966164,0.023013774779354755,0.00039726203736187396,0.867770602256504,3.0108436822773337e-05,0.0008497746658219088,0.10559793139293652
35,Edge-Loc,Scratch,0.0006116715025278976,6.071232024305125e-05,0.47883357794807124,0.0008131122578607503,0.39640778816005157,7.182718866463871e-05,0.00021898431279766703,0.12298232630978319
36,Center,Loc,0.35654123149042294,0.008598207012917644,0.0027014356944873156,2.8871144191362574e-05,0.6072380748190628,4.430454485225172e-05,0.004229220256997293,0.020618655037068254
37,Near-full,Near-full,4.751007653757153e-05,0.00018059273741658196,0.00011219170691935119,0.0014311317072093202,6.111105278207606e-05,0.9967661281394403,0.0003608241110704831,0.0010405104686243207
38,Edge-Loc,Edge-Loc,2.963807896260634e-05,0.00029317735974674036,0.9615981399228797,0.008924841580630836,0.025687049492427134,2.5505460057321246e-05,0.0011958415164973772,0.0022458065887984774
39,Random,Random,3.913417815743351e-05,0.0011825583675432153,0.017548782776249185,0.00011043342087301814,0.0027026782229432754,0.00035700615971442245,0.9758435066761616,0.002215900198357763
40,Edge-Loc,Edge-Loc,0.00244840187379744,2.1412799081603737e-05,0.8926143526317388,0.0016903703974188997,0.08333975175170433,1.2811778682052808e-05,0.00038286166453607614,0.01949003710304032
41,Loc,Edge-Loc,1.3331811020474401e-05,3.974410879469693e-06,0.853849099924824,0.000563591759253021,0.13979451539922436,1.721457471363113e-05,6.658215434661326e-06,0.005751613904650768
42,Edge-Loc,Edge-Loc,0.001911496953528379,5.552297952570753e-05,0.910935557443139,0.0021323149124852863,0.06180434627490812,3.1292176163752624e-05,0.01856943868396902,0.004560030576281035
43,Random,Random,0.0001292888785141968,0.00015200637785078725,0.06314002311269229,0.0004905995136216988,0.003059686035201296,7.084685326666691e-05,0.9233473420729877,0.0096102071558652
44,Edge-Loc,Edge-Loc,4.726795454167978e-05,1.9534054332329854e-05,0.9273058524112463,0.0006518043206806395,0.0704754583276395,7.513099407730529e-06,1.1676835912186282e-05,0.0014808929962397196
45,Loc,Loc,0.11685021920635401,0.0004365319816035907,0.006049067935388991,0.00013816138373224607,0.8275023658407306,0.0001334860338349417,0.0013689776399682767,0.0475211899783876
46,Edge-Loc,Edge-Loc,2.445117401729303e-07,0.00034062616080539397,0.9784994754899523,1.5778349000967706e-05,0.020288931027993985,4.5773326107532757e-07,0.000589047051276964,0.00026543967596886017
47,Edge-Loc,Loc,0.00010405338970389504,5.153110437460812e-05,0.14350989317647822,5.507867000460326e-06,0.8538166540178613,1.711029533863867e-06,0.0006875023673947584,0.0018231470476531588
48,Edge-Loc,Edge-Loc,1.3249186473873516e-05,2.2690222313449504e-05,0.9339610400008942,0.0020973905637855553,0.06181664939317754,7.587499778462946e-06,0.0005211746389222475,0.0015602184946543667
49,Edge-Loc,Edge-Loc,5.687395965208918e-05,8.456609434145786e-06,0.9262486139108753,0.003103747062080587,0.0637146468080352,1.087838238090731e-05,1.8196747171307352e-05,0.006838586520370585
50,Random,Random,6.522967596159296e-05,4.7627192002004624e-05,0.009120480827646757,0.00014709162465704846,0.0006255691957136658,0.00018062275665851633,0.9854926451651848,0.004320733562175924
51,Loc,Loc,2.5828483140926345e-05,0.0003137914502949794,0.03846507306849872,0.0001321367532887833,0.827443498875135,7.128357180919883e-05,0.00010260017863604949,0.13344578761919657
52,Scratch,Loc,0.0016940463518067773,0.00021882165558573916,0.16313625106040702,0.0013243698785698939,0.7372277934591044,6.992660536444424e-05,0.0002177125274898291,0.09611107846167198
53,Loc,Loc,0.00011840746624881037,0.000285410260576491,0.025326927275908476,5.416414343087287e-07,0.9736038090245326,2.591398290587276e-07,0.0005779614943251588,8.668369714513516e-05
54,Random,Edge-Loc,0.0002609227288403808,0.0002656087661230096,0.8681112984198388,0.0009652078147511034,0.03156968135269931,0.00013719657289536374,0.0970794275613645,0.0016106567834872148
55,Loc,Edge-Loc,0.0001609794493248415,8.143233376649853e-05,0.6145733927505952,0.0023578022544578645,0.358286266209149,2.6894722358326408e-05,0.0001690645680096861,0.02434416771233852
56,Edge-Loc,Edge-Loc,0.029946645240458935,6.730570386904166e-05,0.8677934707570745,0.0006575234717571173,0.08991017379252161,5.467099357907655e-05,0.00021705987354706264,0.011353150167192511
57,Loc,Edge-Loc,4.128700065984381e-05,0.00011884703850630516,0.7781890688414489,0.0004963450784187348,0.21925317760971086,7.544007953604472e-06,2.6965784792787912e-05,0.0018667646385092853
58,Loc,Edge-Loc,5.5071765317453096e-05,2.4948404524347642e-05,0.6280571381014417,2.549750909775858e-05,0.3691324630418102,1.2718746834714666e-05,4.318587801902081e-06,0.0026878438431721156
59,Edge-Loc,Edge-Loc,0.0007962781909897677,0.00014766292361104437,0.6256760834235571,0.0002611837895593602,0.3526437849774227,3.719033876976046e-05,9.917336081231422e-05,0.020338642995278
60,Edge-Loc,Edge-Ring,0.006997602906544296,0.0003412509699120338,0.369605110779119,0.5737617498691633,0.03164988472117051,0.00018285083401174083,0.0021739386957557376,0.01528761122432336
61,Edge-Loc,Edge-Loc,2.8080846050393318e-06,8.71233263198803e-05,0.943780107620508,2.711227041386838e-05,0.05594575896204539,5.329935731105173e-07,5.22925212322097e-05,0.00010426422130268469
62,Random,Random,0.008917132380903308,0.0014404327512126398,0.027246826652163728,0.0004719032204479564,0.10480493039837142,0.0003068907688500875,0.8486593528832411,0.00815253094480943
